Instruction,Opcode,Operand,Binary
LOADC 0,16,0,0x10000000
READMEM,30,0,0x1e000000
LOADC 0,16,0,0x10000000
SUB 5,26,5,0xba000000
LOADC 0,16,0,0x10000000
WRITEMEM 10,19,10,0x53010000
LOADC 1,16,1,0x30000000
READMEM,30,0,0x1e000000
LOADC 1,16,1,0x30000000
SUB 5,26,5,0xba000000
LOADC 1,16,1,0x30000000
WRITEMEM 10,19,10,0x53010000
LOADC 2,16,2,0x50000000
READMEM,30,0,0x1e000000
LOADC 2,16,2,0x50000000
SUB 5,26,5,0xba000000
LOADC 2,16,2,0x50000000
WRITEMEM 10,19,10,0x53010000
LOADC 3,16,3,0x70000000
READMEM,30,0,0x1e000000
LOADC 3,16,3,0x70000000
SUB 5,26,5,0xba000000
LOADC 3,16,3,0x70000000
WRITEMEM 10,19,10,0x53010000
LOADC 4,16,4,0x90000000
READMEM,30,0,0x1e000000
LOADC 3,16,3,0x70000000
SUB 5,26,5,0xba000000
LOADC 4,16,4,0x90000000
WRITEMEM 10,19,10,0x53010000
